Platillo,Precio,Categoría,Plugin
Takoyaki,40,japonesa,General
Salchiyaki,40,japonesa,General
Ramen,50,japonesa,General
Miso,30,japonesa,General
Okono,65,japonesa,General
Onigiris 1 ingrediente,25,japonesa,Onigiri
Onigiris 2 ingredientes,30,japonesa,Onigiri
California roll,55,sushi,Sushi
Midori roll,40,sushi,General
Mango roll,60,sushi,Sushi
Masago roll,65,sushi,Sushi
Queso roll,55,sushi,Sushi
Aguacate roll,55,sushi,Sushi
Panko roll,70,sushi,Sushi
Oshi teru,55,sushi,Sushi
Oshi Frutas,40,sushi,General
Gohan,30,japonesa,General
Gohan especial,45,japonesa,General
Gohan supremo,50,japonesa,General
Yakimeshi,40,japonesa,General
Yakimeshi especial,45,japonesa,General
Yakimeshi supremo,50,japonesa,General
Pachiri,50,waffle,General
Kyu,50,waffle,General
Sara Sara,50,waffle,General
Zee haa,50,waffle,General
Nikkori,55,waffle,General
Zuzu,55,waffle,General
Uchu,55,waffle,General
Teru,55,waffle,General
Sawa,55,waffle,General
Cutz,60,waffle,General
Paki,60,waffle,General
Espresso,20,Bebida,Bebida
Americano,20,Bebida,Bebida
Capuccino,30,Bebida,Bebida
Mokaccino,35,Bebida,Bebida
Matcha Latte,40,Bebida,Bebida
Chai Latte,40,Bebida,Bebida
Calpis Natural,30,Bebida,Bebida
Calpis Sabor,40,Bebida,Bebida
Té,30,Bebida,Bebida
Promo de té,40,Bebida,Bebida
Malteada,45,Bebida,Bebida
Flotante,35,Bebida,Bebida
Sundae,40,Bebida,Bebida
Sundae Oreo,45,Bebida,Bebida
Smoothie,50,Bebida,Bebida
Frappe,45,Bebida,Bebida
ingrediente extra,10,Bebida,Bebida
Pops lychee,10,Bebida,Bebida
Refresco light,10,Bebida,Bebida
Refresco ,20,Bebida,Bebida
Agua,10,Bebida,Bebida
Anguila,10,Salsas,General
Tampico,10,Salsas,General
Chipotle con Mayonesa,10,Salsas,General
Soya con Chiles,10,Salsas,General
Teriyaki,10,Salsas,General
Soya Habanero,10,Salsas,General
